profile	path	class	seed	trials	audio_h	attempts	sync	crc_fail	legit	false	false_gate	false_d3	ub95_false_per_attempt	ub95_false_per_sync	ub95_false_per_hour	wall_s
melody	stream	wrongprof<-bass	68c5ecbc6c5f6f49	100	0.2153	100	0	0	0	0	0	0	0.03	nan	13.9	15.9
melody	stream	wrongprof<-chime	e1c3777d2b8bee9e	100	0.1553	0	0	0	0	0	0	0	nan	nan	19.3	0.4
melody	stream	wrongprof<-nocturne	0dc6cde7f7231708	100	0.1553	100	0	0	0	0	0	0	0.03	nan	19.3	14.3
bass	oneshot	silence	be888164cc57983b	251	0.5006	251	0	0	0	0	0	0	0.0119	nan	5.98	8.4
bass	oneshot	wgn-40	0b535afb97a94a23	502	1.0012	502	0	0	0	0	0	0	0.00597	nan	2.99	18.2
bass	oneshot	wgn-20	0b5a66fb97af7d35	502	1.0012	502	0	0	0	0	0	0	0.00597	nan	2.99	17.5
bass	oneshot	wgn-6	6ba6bc67911efa7b	502	1.0012	502	0	0	0	0	0	0	0.00597	nan	2.99	19.1
bass	oneshot	pink-20	b02122f76b5221a9	502	1.0012	502	0	0	0	0	0	0	0.00597	nan	2.99	19.8
bass	oneshot	music_offgrid	431d6fe7897a9055	502	1.0012	502	0	0	0	0	0	0	0.00597	nan	2.99	46.3
bass	oneshot	music_ongrid	d68c2bca505a89e9	502	1.0012	502	0	0	0	0	0	0	0.00597	nan	2.99	18.9
bass	oneshot	trill_ongrid	37d2d5d1085cee1f	502	1.0012	502	0	0	0	0	0	0	0.00597	nan	2.99	19.8
bass	oneshot	clicks	de76ceb8b9f89e81	502	1.0012	502	0	0	0	0	0	0	0.00597	nan	2.99	19.3
bass	oneshot	trunc	abbd9dbdeda83cf3	175	0.3490	175	175	75	100	0	0	0	0.0171	0.0171	8.58	6.5
bass	oneshot	overlap	f9a698162ea6797e	175	0.4737	175	175	18	157	0	0	0	0.0171	0.0171	6.32	15.2
bass	oneshot	badsync	0efd557373bf703d	200	0.3989	200	91	0	91	0	0	0	0.015	0.0329	7.51	5.2
bass	oneshot	dataflip	485ed7440dfd7f50	300	0.5983	300	300	122	178	0	0	0	0.00999	0.00999	5.01	8.3
bass	oneshot	preamble	9737ea58c80cc05f	100	0.1994	100	50	50	0	0	0	0	0.03	0.0599	15	2.3
bass	oneshot	presync_random	ef57829593e682ef	3000	5.9833	3000	3000	3000	0	0	0	0	0.000999	0.000999	0.501	82.0
bass	oneshot	wrongprof<-melody	7370518dde76ce03	100	0.1994	100	0	0	0	0	0	0	0.03	nan	15	3.2
bass	oneshot	wrongprof<-chime	3350f15017035da5	100	0.1994	100	0	0	0	0	0	0	0.03	nan	15	2.7
bass	stream	silence	4315c4692e5da3cd	251	0.5006	0	0	0	0	0	0	0	nan	nan	5.98	0.6
bass	stream	wgn-40	c7367f597e47bcd9	502	1.0012	218	0	0	0	0	0	0	0.0137	nan	2.99	26.0
bass	stream	wgn-20	c74b03597e59462f	502	1.0012	307	0	0	0	0	0	0	0.00976	nan	2.99	35.7
bass	stream	wgn-6	972ba9463ce80cd9	502	1.0012	198	0	0	0	0	0	0	0.0151	nan	2.99	23.0
bass	stream	pink-20	dbecc6eb6c4ad763	502	1.0012	252	1	1	0	0	0	0	0.0119	3	2.99	29.7
bass	stream	music_offgrid	71d1e8997b7f0683	502	1.0012	256	0	0	0	0	0	0	0.0117	nan	2.99	57.7
bass	stream	music_ongrid	fbd921dfd0e66b2f	502	1.0012	249	0	0	0	0	0	0	0.012	nan	2.99	30.6
bass	stream	trill_ongrid	4bfffa3e4cbf6e89	502	1.0012	256	9	9	0	0	0	0	0.0117	0.333	2.99	28.6
bass	stream	clicks	f4295c73a646396b	502	1.0012	0	0	0	0	0	0	0	nan	nan	2.99	3.0
bass	stream	trunc	ed0891da4aa5b107	175	0.3767	25	25	0	25	0	0	0	0.12	0.12	7.95	1.7
bass	stream	overlap	29c5907adc4daeaa	175	0.5014	174	174	12	162	0	0	0	0.0172	0.0172	5.97	6.4
bass	stream	badsync	56e5a4b835d56ef9	200	0.4306	200	89	0	89	0	0	0	0.015	0.0337	6.96	13.8
bass	stream	dataflip	ed996f5e7662d3d4	300	0.6458	300	300	125	175	0	0	0	0.00999	0.00999	4.64	9.0
bass	stream	preamble	384b6f1d6d06e223	100	0.2153	0	0	0	0	0	0	0	nan	nan	13.9	0.2
bass	stream	presync_random	4a42c4b6fa067a1b	3000	6.4583	3000	3000	3000	0	0	0	0	0.000999	0.000999	0.464	90.2
bass	stream	wrongprof<-melody	83fb9f34c4e1e8c7	100	0.2153	0	0	0	0	0	0	0	nan	nan	13.9	0.9
bass	stream	wrongprof<-chime	36c5f6b7d1ad3b29	100	0.2153	0	0	0	0	0	0	0	nan	nan	13.9	0.4
chime	oneshot	silence	21c17d15f93c3790	979	0.5004	979	0	0	0	0	0	0	0.00306	nan	5.99	6.2
chime	oneshot	wgn-40	adb90b63c420ceee	1957	1.0002	1957	0	0	0	0	0	0	0.00153	nan	3	13.6
chime	oneshot	wgn-20	ada48763c40f4598	1957	1.0002	1957	0	0	0	0	0	0	0.00153	nan	3	14.0
chime	oneshot	wgn-6	fbbf1ff3dee7ef04	1957	1.0002	1957	0	0	0	0	0	0	0.00153	nan	3	13.4
chime	oneshot	pink-20	89f354727ebfcdc6	1957	1.0002	1957	0	0	0	0	0	0	0.00153	nan	3	14.4
chime	oneshot	music_offgrid	ad69ef24a8601912	1957	1.0002	1957	0	0	0	0	0	0	0.00153	nan	3	36.2
chime	oneshot	music_ongrid	bf5783fea619b6e0	1957	1.0002	1957	0	0	0	0	0	0	0.00153	nan	3	13.7
chime	oneshot	trill_ongrid	d06a58ce0233d812	1957	1.0002	1957	1	1	0	0	0	0	0.00153	3	3	14.3
chime	oneshot	clicks	94be586323d1b298	1957	1.0002	1957	0	0	0	0	0	0	0.00153	nan	3	13.8
chime	oneshot	trunc	f0b04207ff341b0a	175	0.0894	175	175	75	100	0	0	0	0.0171	0.0171	33.5	1.5
chime	oneshot	overlap	37cf061cc9a9fd9f	175	0.1206	175	175	45	130	0	0	0	0.0171	0.0171	24.8	3.2
chime	oneshot	badsync	1b5dec358f43a8f8	200	0.1022	200	91	4	87	0	0	0	0.015	0.0329	29.3	1.9
chime	oneshot	dataflip	21a8b0e626d73bbf	300	0.1533	300	300	119	181	0	0	0	0.00999	0.00999	19.5	2.7
chime	oneshot	preamble	29dedb547124da08	100	0.0511	100	50	50	0	0	0	0	0.03	0.0599	58.6	0.6
chime	oneshot	presync_random	1c2fcc5736bdd8b0	10000	5.1111	10000	10000	10000	0	0	0	0	0.0003	0.0003	0.586	88.8
chime	oneshot	wrongprof<-melody	db5f66dd6042bf9e	100	0.1394	100	0	0	0	0	0	0	0.03	nan	21.5	5.0
chime	oneshot	wrongprof<-bass	880302ceffbac0d5	100	0.1994	100	0	0	0	0	0	0	0.03	nan	15	8.1
chime	stream	silence	2e5f9e709a2d9e16	979	0.5004	0	0	0	0	0	0	0	nan	nan	5.99	0.7
chime	stream	wgn-40	bb53e401f124ad00	1957	1.0002	300	0	0	0	0	0	0	0.00999	nan	3	8.2
chime	stream	wgn-20	bb686801f1363656	1957	1.0002	421	0	0	0	0	0	0	0.00712	nan	3	10.4
chime	stream	wgn-6	0a4046ca73502296	1957	1.0002	206	0	0	0	0	0	0	0.0145	nan	3	6.8
chime	stream	pink-20	fa585bf4ec66c674	1957	1.0002	267	0	0	0	0	0	0	0.0112	nan	3	8.5
chime	stream	music_offgrid	d7d5df1b85da8bbc	1957	1.0002	922	0	0	0	0	0	0	0.00325	nan	3	42.0
chime	stream	music_ongrid	dc1a3ee9d8565702	1957	1.0002	960	0	0	0	0	0	0	0.00312	nan	3	19.8
chime	stream	trill_ongrid	93f5f204ab4a6ec8	1957	1.0002	965	26	26	0	0	0	0	0.0031	0.115	3	19.8
chime	stream	clicks	815a3630568f38ae	1957	1.0002	0	0	0	0	0	0	0	nan	nan	3	3.3
chime	stream	trunc	b6b3237f0f014d16	175	0.1055	25	25	0	25	0	0	0	0.12	0.12	28.4	0.7
chime	stream	overlap	cb08d758852a7b13	175	0.1367	175	175	49	126	0	0	0	0.0171	0.0171	21.9	2.2
chime	stream	badsync	57229981381305fc	200	0.1206	200	92	1	91	0	0	0	0.015	0.0326	24.8	3.0
chime	stream	dataflip	50d02170affeb62b	300	0.1808	300	300	115	185	0	0	0	0.00999	0.00999	16.6	2.9
chime	stream	preamble	6f5629cc9c905324	100	0.0603	0	0	0	0	0	0	0	nan	nan	49.7	0.1
chime	stream	presync_random	6a884432306b5f24	10000	6.0278	10000	10000	10000	0	0	0	0	0.0003	0.0003	0.497	90.5
chime	stream	wrongprof<-melody	dde664263d05a36a	100	0.1486	200	0	0	0	0	0	0	0.015	nan	20.2	4.4
chime	stream	wrongprof<-bass	04f2cf7f8c4ed1d9	100	0.2086	300	0	0	0	0	0	0	0.00999	nan	14.4	5.8
codec	codec	gauss	6f8560ee9b28a03f	4000000	0.0000	4000000	4000000	3999942	0	58	0	1	1.8e-05	1.8e-05	nan	272.4
codec	codec	hard	aa20d9d8440999ef	2000000	0.0000	2000000	2000000	1999971	0	29	0	0	1.98e-05	1.98e-05	nan	105.9
codec	codec	flip8	d3e3b2c04627eadf	100000	0.0000	100000	100000	41	99959	0	0	0	3e-05	3e-05	nan	5.6
codec	codec	flip16	33eb93b735e89d36	200000	0.0000	200000	200000	7207	192793	0	0	0	1.5e-05	1.5e-05	nan	12.0
codec	codec	flip20	33f5a7b735f113b7	500000	0.0000	500000	500000	60219	439781	0	0	0	5.99e-06	5.99e-06	nan	29.6
codec	codec	flip24	33f5a3b735f10ceb	500000	0.0000	500000	500000	148150	351850	0	0	0	5.99e-06	5.99e-06	nan	29.3
codec	codec	flip28	33f59fb735f1061f	500000	0.0000	500000	500000	277948	222051	1	0	0	9.49e-06	9.49e-06	nan	29.1
codec	codec	flip32	33f21fb735edf6c8	500000	0.0000	500000	500000	408316	91680	4	0	0	1.83e-05	1.83e-05	nan	28.7
codec	codec	flip48	33e11bb735df7cc9	100000	0.0000	100000	100000	99997	0	3	0	0	7.75e-05	7.75e-05	nan	5.6
